customer_id,segment_name,Recency,Frequency,Monetary,engagement_score,ticket_count
CUST00123,Champions,29,7,3742.48,9,3.0
CUST00124,At Risk,255,4,2570.5,26,0.0
CUST00125,Potential Loyalists,17,3,2455.21,0,0.0
CUST00126,Dormant,118,2,1260.02,37,0.0
CUST00127,Potential Loyalists,18,3,1136.12,17,0.0
CUST00128,Potential Loyalists,6,3,2233.06,111,0.0
CUST00129,Champions,32,5,4049.54,46,2.0
CUST00130,Dormant,57,2,1850.58,46,0.0
CUST00131,At Risk,128,6,6830.01,19,0.0
CUST00132,At Risk,178,5,4876.780000000001,4,0.0
CUST00133,Champions,12,10,7152.29,25,1.0
CUST00134,Champions,19,6,4696.0199999999995,64,3.0
CUST00135,At Risk,394,4,2534.18,14,0.0
CUST00136,Dormant,132,1,514.9,50,0.0
CUST00137,Dormant,238,2,1035.87,20,0.0
CUST00138,Potential Loyalists,36,2,1424.6100000000001,20,0.0
CUST00139,Loyal Customers,14,4,3008.66,25,2.0
CUST00140,Champions,33,5,4083.36,78,2.0
CUST00141,Potential Loyalists,20,2,1055.28,25,0.0
CUST00142,At Risk,230,5,1880.0,10,0.0
CUST00143,Loyal Customers,51,7,7890.950000000001,30,0.0
CUST00144,Champions,42,10,8510.65,44,3.0
CUST00145,Dormant,91,1,502.35,0,0.0
CUST00146,Champions,6,6,6990.9400000000005,21,1.0
CUST00147,Loyal Customers,27,4,3412.56,4,1.0
CUST00148,Champions,15,5,3702.7,28,1.0
CUST00149,Potential Loyalists,10,3,2362.6400000000003,33,0.0
CUST00150,Loyal Customers,35,5,2641.09,29,0.0
CUST00151,Loyal Customers,44,8,6240.6,42,3.0
CUST00152,Champions,10,8,5508.0,106,4.0
CUST00153,Potential Loyalists,26,3,1619.74,31,0.0
CUST00154,Champions,42,10,8542.89,41,0.0
CUST00155,Loyal Customers,32,4,2343.2799999999997,35,0.0
CUST00156,Potential Loyalists,28,3,4831.42,96,1.0
CUST00157,Loyal Customers,61,5,2269.91,19,1.0
CUST00158,Dormant,216,1,812.34,47,0.0
CUST00159,Dormant,535,2,3713.77,0,0.0
CUST00160,Dormant,238,2,1064.66,26,1.0
CUST00161,Champions,14,7,6171.42,54,0.0
CUST00162,Dormant,152,2,1194.5900000000001,14,0.0
CUST00163,Potential Loyalists,22,2,1100.06,18,0.0
CUST00164,At Risk,283,5,4657.03,4,1.0
CUST00165,Loyal Customers,37,4,2287.08,10,0.0
CUST00166,Potential Loyalists,38,3,3227.7,5,1.0
CUST00167,Dormant,280,1,423.24,0,0.0
CUST00168,Champions,13,5,4794.47,13,0.0
CUST00169,Dormant,283,1,1799.45,4,0.0
CUST00170,Champions,17,12,7634.5599999999995,27,1.0
CUST00171,Loyal Customers,31,4,3416.04,37,0.0
CUST00172,Loyal Customers,45,8,6232.719999999999,36,3.0
CUST00173,Loyal Customers,43,6,2018.8200000000002,68,1.0
CUST00174,Champions,3,7,3507.37,81,2.0
CUST00175,At Risk,120,4,3568.3199999999997,34,1.0
CUST00176,Loyal Customers,10,4,6283.41,78,0.0
CUST00177,Champions,13,5,5158.25,61,0.0
CUST00178,Champions,33,9,5965.32,60,4.0
CUST00179,Loyal Customers,36,4,1767.07,69,2.0
CUST00180,Dormant,157,2,1570.85,41,1.0
CUST00181,Potential Loyalists,35,2,1815.8899999999999,38,0.0
CUST00182,Dormant,60,2,672.78,51,0.0
CUST00183,Dormant,213,3,3246.8900000000003,7,1.0
CUST00184,Loyal Customers,75,5,5072.85,26,2.0
CUST00185,Champions,25,9,5475.0,48,0.0
CUST00186,Potential Loyalists,16,2,2279.63,13,1.0
CUST00187,Loyal Customers,53,4,2223.79,0,1.0
CUST00188,Loyal Customers,90,7,5810.17,46,3.0
CUST00189,Champions,4,11,8207.06,67,3.0
CUST00190,Potential Loyalists,18,2,854.78,23,1.0
CUST00191,Potential Loyalists,9,3,945.03,44,0.0
CUST00192,Champions,2,6,3657.1499999999996,34,0.0
CUST00193,Dormant,218,1,424.74,21,0.0
CUST00194,Champions,3,6,4197.11,55,3.0
CUST00195,Potential Loyalists,3,2,1955.96,33,1.0
CUST00196,Dormant,85,2,1272.38,4,1.0
CUST00197,Champions,9,12,11523.66,47,3.0
CUST00198,Champions,26,10,7958.04,5,2.0
CUST00199,Loyal Customers,49,5,4359.83,17,1.0
CUST00200,Champions,26,9,7636.45,38,1.0
CUST00201,At Risk,154,7,6691.56,21,2.0
CUST00202,Dormant,48,2,2363.2200000000003,67,0.0
CUST00203,Dormant,175,2,743.3499999999999,42,0.0
CUST00204,Loyal Customers,47,6,3646.77,87,0.0
CUST00205,Champions,7,6,3610.58,89,0.0
CUST00206,At Risk,179,10,6479.7,32,3.0
CUST00207,Dormant,79,1,193.1,70,0.0
CUST00208,At Risk,152,6,6865.35,13,1.0
CUST00209,At Risk,340,5,3422.88,17,1.0
CUST00210,Dormant,189,2,1254.8700000000001,22,0.0
CUST00211,Champions,28,7,27920.05,27,1.0
CUST00212,Dormant,265,3,2071.6800000000003,16,0.0
CUST00213,Dormant,147,2,1680.61,11,2.0
CUST00214,Dormant,125,1,1427.16,14,0.0
CUST00215,Dormant,95,3,1564.1,35,1.0
CUST00216,Dormant,109,1,1349.42,29,1.0
CUST00217,Dormant,140,3,1179.94,14,0.0
CUST00218,Loyal Customers,15,4,2728.57,6,0.0
CUST00219,At Risk,215,6,2782.79,13,1.0
CUST00220,Loyal Customers,19,4,1750.5,96,1.0
CUST00221,Potential Loyalists,9,3,1357.66,110,0.0
CUST00222,Dormant,247,2,1259.5,7,1.0
CUST00223,Dormant,164,1,757.58,7,1.0
CUST00224,Loyal Customers,8,4,3249.04,6,1.0
CUST00225,Dormant,149,3,3012.6,13,0.0
CUST00226,Loyal Customers,5,4,3683.7,40,1.0
CUST00227,At Risk,214,6,4383.02,0,2.0
CUST00228,At Risk,143,7,4150.72,34,2.0
CUST00229,At Risk,153,5,3077.41,37,1.0
CUST00230,Champions,16,9,8646.32,120,2.0
CUST00231,Loyal Customers,22,4,2330.3900000000003,38,0.0
CUST00232,Potential Loyalists,8,3,3010.99,7,0.0
CUST00233,Dormant,422,3,1626.9899999999998,32,0.0
CUST00234,Champions,35,7,5988.42,39,0.0
CUST00235,Champions,13,5,3186.58,15,0.0
CUST00236,Potential Loyalists,18,2,1796.52,38,1.0
CUST00237,Champions,30,5,4240.2,55,0.0
CUST00238,Dormant,57,3,3798.2000000000003,4,2.0
CUST00239,Dormant,381,1,208.1,27,0.0
CUST00240,Potential Loyalists,18,3,2710.16,20,1.0
CUST00241,Loyal Customers,7,4,4566.46,53,0.0
CUST00242,Champions,16,7,4040.24,49,0.0
CUST00243,At Risk,130,4,3129.06,21,1.0
CUST00244,Dormant,205,2,2449.86,7,0.0
CUST00245,Champions,9,5,3729.23,37,0.0
CUST00246,Loyal Customers,34,5,3071.41,33,1.0
CUST00247,At Risk,118,11,5611.35,19,3.0
CUST00248,Loyal Customers,53,8,4617.07,9,0.0
CUST00249,Dormant,223,3,1761.46,23,0.0
CUST00250,Potential Loyalists,37,2,1335.96,33,0.0
CUST00251,Dormant,102,1,966.73,97,1.0
CUST00252,At Risk,251,6,5194.02,21,0.0
CUST00253,Dormant,252,3,1901.1299999999999,12,0.0
CUST00254,At Risk,244,4,3041.57,27,0.0
CUST00255,Loyal Customers,50,7,5070.56,40,2.0
CUST00256,Dormant,242,2,1727.8400000000001,4,1.0
CUST00257,Dormant,51,3,1361.41,49,0.0
CUST00258,Champions,36,11,6740.7300000000005,34,1.0
CUST00259,Dormant,253,1,1519.33,0,0.0
CUST00260,Potential Loyalists,14,3,2237.58,42,0.0
CUST00261,Potential Loyalists,7,3,2884.77,0,0.0
CUST00262,Potential Loyalists,10,3,1649.48,23,0.0
CUST00263,Loyal Customers,50,13,8211.17,86,6.0
CUST00264,Dormant,92,2,671.0999999999999,38,1.0
CUST00265,Potential Loyalists,10,3,1918.74,39,0.0
CUST00266,At Risk,219,4,5306.62,5,2.0
CUST00267,Loyal Customers,90,4,4026.2300000000005,31,2.0
CUST00268,Loyal Customers,40,4,4982.92,32,1.0
CUST00269,Loyal Customers,34,4,3130.84,60,1.0
CUST00270,Loyal Customers,14,4,3158.67,41,0.0
CUST00271,Champions,10,6,5326.4,6,0.0
CUST00272,Loyal Customers,54,14,14120.16,54,0.0
CUST00273,Champions,23,9,6554.51,30,4.0
CUST00274,Dormant,56,2,1003.95,5,0.0
CUST00275,At Risk,302,6,3879.21,34,1.0
CUST00276,Champions,10,7,9212.91,44,0.0
CUST00277,Loyal Customers,6,4,2222.75,10,0.0
CUST00278,At Risk,130,4,2768.06,48,2.0
CUST00279,Champions,40,10,6562.58,51,1.0
CUST00280,Loyal Customers,53,9,7889.99,26,0.0
CUST00281,Dormant,96,2,1161.06,22,0.0
CUST00282,Dormant,357,2,774.76,6,1.0
CUST00283,Champions,42,11,8318.05,31,4.0
CUST00284,Dormant,352,2,781.62,7,0.0
CUST00285,Loyal Customers,23,5,2538.27,48,0.0
CUST00286,Dormant,430,2,2027.25,6,1.0
CUST00287,Champions,40,7,6816.38,32,1.0
CUST00288,Dormant,171,2,1096.1,5,1.0
CUST00289,Dormant,56,3,1303.02,19,0.0
CUST00290,Dormant,59,2,878.26,32,1.0
CUST00291,At Risk,119,9,5604.34,22,3.0
CUST00292,Loyal Customers,8,4,3132.6,29,1.0
CUST00293,Dormant,291,3,1699.71,13,0.0
CUST00294,Potential Loyalists,35,3,3612.55,78,0.0
CUST00295,Champions,11,5,4296.54,11,0.0
CUST00296,At Risk,193,4,1989.83,13,0.0
CUST00297,Dormant,215,1,1130.29,58,1.0
CUST00298,Dormant,262,1,1122.99,27,0.0
CUST00299,At Risk,404,4,2302.1800000000003,0,2.0
CUST00300,Loyal Customers,48,5,2586.24,36,0.0
CUST00301,Champions,27,9,7935.46,34,3.0
CUST00302,At Risk,209,4,2534.0,19,3.0
CUST00303,Champions,15,8,5373.69,38,2.0
CUST00304,Dormant,148,3,2837.27,25,1.0
CUST00305,Dormant,227,1,531.59,31,0.0
CUST00306,Loyal Customers,47,6,5851.889999999999,12,2.0
CUST00307,Dormant,93,3,2114.17,0,1.0
CUST00308,Dormant,43,3,2518.37,42,0.0
CUST00309,Dormant,69,3,2731.6099999999997,62,0.0
CUST00310,Potential Loyalists,22,2,1126.21,38,1.0
CUST00311,Dormant,109,1,1336.82,19,0.0
CUST00312,Dormant,125,1,486.27,43,0.0
CUST00313,Dormant,223,1,769.77,73,1.0
CUST00314,Dormant,77,1,560.98,0,0.0
CUST00315,Champions,5,12,11129.380000000001,62,2.0
CUST00316,Dormant,158,2,1079.82,7,1.0
CUST00317,Dormant,161,1,1353.24,55,0.0
CUST00318,Loyal Customers,56,6,6278.88,10,1.0
CUST00319,At Risk,208,6,2585.4700000000003,0,0.0
CUST00320,Loyal Customers,50,8,5389.51,43,1.0
CUST00321,At Risk,177,6,3100.54,6,2.0
CUST00322,Loyal Customers,46,6,3582.34,24,0.0
CUST00323,Champions,27,9,7552.84,28,0.0
CUST00324,At Risk,335,4,6039.5599999999995,0,2.0
CUST00325,Loyal Customers,3,4,3975.12,31,0.0
CUST00326,Dormant,185,3,1868.65,38,1.0
CUST00327,Dormant,63,3,1087.67,39,0.0
CUST00328,Dormant,383,1,371.68,9,0.0
CUST00329,Loyal Customers,8,4,2102.61,5,0.0
CUST00330,Loyal Customers,26,4,1658.54,6,1.0
CUST00331,At Risk,212,5,3450.66,7,2.0
CUST00332,Loyal Customers,19,4,4830.33,0,2.0
CUST00333,Potential Loyalists,30,2,1205.58,18,0.0
CUST00334,Dormant,146,3,2170.31,8,1.0
CUST00335,Loyal Customers,18,4,2833.44,49,2.0
CUST00336,Champions,5,7,3979.4700000000003,23,0.0
CUST00337,Dormant,68,2,1887.73,15,1.0
CUST00338,Potential Loyalists,19,2,1364.21,40,1.0
CUST00339,Loyal Customers,28,5,3070.33,54,1.0
CUST00340,Loyal Customers,47,10,6781.87,47,1.0
CUST00341,Potential Loyalists,24,2,1262.52,50,0.0
CUST00342,Loyal Customers,1,4,3043.19,54,1.0
CUST00343,Loyal Customers,52,6,2874.94,51,0.0
CUST00344,Champions,33,6,4985.95,23,4.0
CUST00345,Loyal Customers,45,6,6318.72,91,1.0
CUST00346,Loyal Customers,60,12,10622.109999999999,90,2.0
CUST00347,At Risk,245,4,3311.46,56,1.0
CUST00348,Loyal Customers,43,4,3043.55,69,0.0
CUST00349,Champions,15,6,5889.18,14,0.0
CUST00350,Potential Loyalists,1,3,2121.43,71,0.0
CUST00351,Champions,14,8,8615.57,20,3.0
CUST00352,Potential Loyalists,23,3,2352.36,63,0.0
CUST00353,At Risk,179,4,1755.1200000000001,28,1.0
CUST00354,Champions,25,6,3470.21,29,1.0
CUST00355,At Risk,232,4,3405.2,20,2.0
CUST00356,Champions,22,6,3137.74,60,2.0
CUST00357,Dormant,103,1,513.15,67,1.0
CUST00358,Dormant,162,2,1523.3600000000001,22,1.0
CUST00359,Champions,30,9,6910.4,0,0.0
CUST00360,Champions,33,8,9265.23,7,0.0
CUST00361,Dormant,230,1,361.04,18,1.0
CUST00362,Champions,13,6,3159.8599999999997,81,1.0
CUST00363,Potential Loyalists,34,3,1780.5900000000001,14,1.0
CUST00364,Dormant,420,3,2049.88,0,2.0
CUST00365,Dormant,219,1,1015.06,43,0.0
CUST00366,Champions,38,6,6762.91,9,1.0
CUST00367,Dormant,273,1,884.81,4,0.0
CUST00368,Dormant,116,1,348.81,42,1.0
CUST00369,Dormant,132,3,2263.62,32,0.0
CUST00370,Dormant,233,1,452.14,34,0.0
CUST00371,Dormant,185,3,2631.54,20,1.0
CUST00372,Potential Loyalists,2,3,1343.1,15,1.0
CUST00373,Dormant,134,2,1612.8899999999999,51,0.0
CUST00374,Dormant,280,2,795.8299999999999,0,1.0
CUST00375,At Risk,146,6,3564.29,11,1.0
CUST00376,Loyal Customers,106,8,5532.45,32,0.0
CUST00377,At Risk,141,4,2214.32,57,0.0
CUST00378,Dormant,160,1,1622.32,16,0.0
CUST00379,Dormant,136,2,1029.97,14,0.0
CUST00380,Champions,28,7,3831.9,38,1.0
CUST00381,Dormant,243,1,597.86,9,1.0
CUST00382,Dormant,43,3,1584.55,25,0.0
CUST00383,Champions,7,7,5682.3099999999995,81,3.0
CUST00384,Potential Loyalists,24,3,1529.26,0,0.0
CUST00385,Champions,8,9,6949.7,37,3.0
CUST00386,Champions,34,7,5490.0,84,1.0
CUST00387,Potential Loyalists,1,3,3480.7,7,0.0
CUST00388,Loyal Customers,98,5,2574.36,23,1.0
CUST00389,Champions,1,12,8394.1,64,3.0
CUST00390,Dormant,115,2,1639.4299999999998,22,1.0
CUST00391,Loyal Customers,50,4,3250.96,20,0.0
CUST00392,At Risk,194,7,5290.95,23,0.0
CUST00393,Potential Loyalists,3,3,2797.96,36,1.0
CUST00394,Dormant,50,2,1196.59,61,1.0
CUST00395,Loyal Customers,8,4,2294.75,80,1.0
CUST00396,Loyal Customers,47,6,3382.7599999999998,53,1.0
CUST00397,At Risk,140,11,9647.73,18,4.0
CUST00398,Champions,30,5,3322.37,51,1.0
CUST00399,At Risk,323,4,2749.65,21,0.0
CUST00400,Potential Loyalists,35,2,1613.97,40,0.0
CUST00401,Potential Loyalists,8,2,1106.27,13,1.0
CUST00402,Dormant,193,3,1410.06,6,1.0
CUST00403,Potential Loyalists,29,3,2404.71,89,0.0
CUST00404,At Risk,254,6,4631.52,7,2.0
CUST00405,Dormant,63,1,282.03,26,1.0
CUST00406,Loyal Customers,23,4,1427.6,46,1.0
CUST00407,Potential Loyalists,17,2,2405.56,0,0.0
CUST00408,Loyal Customers,54,8,4751.44,0,4.0
CUST00409,At Risk,119,7,4946.35,47,3.0
CUST00410,Dormant,51,3,2009.71,68,1.0
CUST00411,Dormant,314,1,1756.76,6,0.0
CUST00412,Dormant,590,1,1486.51,0,0.0
CUST00413,Loyal Customers,28,4,2693.84,86,2.0
CUST00414,Dormant,64,1,311.44,39,1.0
CUST00415,Dormant,181,2,2282.07,4,1.0
CUST00416,Dormant,60,3,1804.88,18,1.0
CUST00417,At Risk,212,4,2750.0299999999997,0,0.0
CUST00418,Dormant,48,3,2381.17,48,1.0
CUST00419,Dormant,159,2,1795.1,67,0.0
CUST00420,Loyal Customers,48,5,4695.67,102,1.0
CUST00421,Loyal Customers,47,8,6285.45,24,2.0
CUST00422,Dormant,186,2,1075.03,51,0.0
CUST00423,Dormant,196,3,2349.76,7,0.0
CUST00424,Dormant,174,2,1297.49,31,1.0
CUST00425,Champions,4,5,3571.95,64,0.0
CUST00426,Dormant,138,2,1478.25,56,0.0
CUST00427,Dormant,62,2,331.53,19,1.0
CUST00428,Champions,2,8,5359.36,6,1.0
CUST00429,Potential Loyalists,14,3,1361.81,93,1.0
CUST00430,Loyal Customers,19,4,2817.12,0,0.0
CUST00431,Dormant,215,2,903.65,4,0.0
CUST00432,At Risk,173,4,5036.07,45,0.0
CUST00433,Loyal Customers,53,7,5386.66,70,4.0
CUST00434,Potential Loyalists,34,3,1824.26,10,0.0
CUST00435,Dormant,261,3,1740.56,4,1.0
CUST00436,Champions,9,5,5612.16,11,0.0
CUST00437,Dormant,49,3,2048.04,0,0.0
CUST00438,Dormant,125,3,2466.39,30,3.0
CUST00439,Dormant,180,3,1981.34,29,1.0
CUST00440,Dormant,125,1,325.03,25,1.0
CUST00441,Dormant,272,1,786.67,6,1.0
CUST00442,At Risk,130,8,4905.34,11,1.0
CUST00443,Dormant,326,3,1694.35,11,0.0
CUST00444,Dormant,293,1,520.84,5,0.0
CUST00445,Dormant,60,2,2068.62,16,0.0
CUST00446,Dormant,87,1,521.16,64,0.0
CUST00447,Champions,8,8,3821.6,25,2.0
CUST00448,At Risk,197,5,4291.91,46,3.0
CUST00449,Dormant,270,2,661.52,7,0.0
CUST00450,Dormant,57,2,1364.32,34,0.0
CUST00451,Loyal Customers,60,5,4244.52,20,2.0
CUST00452,At Risk,317,6,1929.85,13,1.0
CUST00453,Loyal Customers,53,5,3564.87,5,1.0
CUST00454,Champions,6,7,5177.76,121,2.0
CUST00455,Dormant,334,3,1616.76,0,1.0
CUST00456,At Risk,208,4,3440.2,0,1.0
CUST00457,Dormant,382,2,1371.21,4,0.0
CUST00458,Potential Loyalists,40,3,1730.31,18,0.0
CUST00459,Dormant,298,3,2928.0299999999997,26,2.0
CUST00460,Loyal Customers,48,12,9567.38,51,1.0
CUST00461,At Risk,255,4,1579.47,14,0.0
CUST00462,Dormant,96,3,2689.5,11,1.0
CUST00463,Champions,10,7,7375.860000000001,0,0.0
CUST00464,At Risk,167,10,6495.79,24,3.0
CUST00465,Dormant,238,1,1298.74,17,0.0
CUST00466,Champions,18,12,6279.43,53,2.0
CUST00467,Potential Loyalists,6,3,1620.28,30,0.0
CUST00468,Dormant,259,2,1077.8600000000001,4,1.0
CUST00469,Loyal Customers,1,4,2772.31,58,0.0
CUST00470,At Risk,227,5,3508.62,7,2.0
CUST00471,Dormant,187,1,307.23,37,0.0
CUST00472,Champions,26,5,4789.49,0,0.0
CUST00473,At Risk,182,6,3513.72,0,2.0
CUST00474,Loyal Customers,1,4,2364.05,26,1.0
CUST00475,Champions,8,10,7340.669999999999,11,0.0
CUST00476,At Risk,201,7,6233.25,38,3.0
CUST00477,Loyal Customers,60,5,3519.83,12,0.0
CUST00478,Loyal Customers,43,4,2005.68,47,0.0
CUST00479,Dormant,330,1,319.34,27,1.0
CUST00480,At Risk,209,7,4227.82,8,0.0
CUST00481,Loyal Customers,54,4,1811.91,66,0.0
CUST00482,Champions,12,6,3296.44,86,0.0
CUST00483,Champions,35,8,5388.37,15,1.0
CUST00484,Loyal Customers,59,6,6028.98,47,3.0
CUST00485,At Risk,289,5,2971.02,6,2.0
CUST00486,Dormant,43,2,1807.8600000000001,43,0.0
CUST00487,Loyal Customers,23,8,3049.97,13,6.0
CUST00488,At Risk,278,4,2427.65,53,0.0
CUST00489,Dormant,271,1,963.44,68,0.0
CUST00490,Potential Loyalists,34,2,2074.38,59,1.0
CUST00491,Potential Loyalists,26,3,1795.63,55,1.0
CUST00492,Loyal Customers,51,7,6233.68,0,1.0
CUST00493,Dormant,169,2,1757.06,57,1.0
CUST00494,Potential Loyalists,16,3,3012.2300000000005,28,0.0
CUST00495,Potential Loyalists,41,3,2838.69,17,0.0
CUST00496,Dormant,54,3,2971.8500000000004,25,0.0
CUST00497,Dormant,220,1,1724.62,6,0.0
CUST00498,Loyal Customers,50,4,2790.75,22,0.0
CUST00499,Loyal Customers,27,4,3425.97,7,1.0
CUST00500,Loyal Customers,34,4,3749.66,68,0.0
CUST00501,Champions,27,5,3852.58,16,1.0
CUST00502,Loyal Customers,10,4,2253.2200000000003,66,0.0
CUST00503,Champions,29,8,5763.58,16,3.0
CUST00504,Potential Loyalists,11,3,3098.74,45,0.0
CUST00505,Potential Loyalists,4,2,1468.8,54,0.0
CUST00506,Champions,15,10,9069.6,0,4.0
